#mm9.knownGene.name	mm9.knownGene.chrom	mm9.knownGene.txStart	mm9.knownGene.txEnd	mm9.knownGene.strand	mm9.kgXref.refseq
uc007byk.1	chr1	90108533	90116577	+	NM_201645
uc011wov.1	chr1	90123594	90158864	+	NM_001177364
uc007bym.2	chr1	90155430	90174154	-	NM_198652
uc011woy.1	chr1	90203236	90285426	+	NM_134252
uc007byq.1	chr1	90303593	90323013	+	NM_029269
uc007byr.1	chr1	90396445	90406641	-	NM_008132
uc007byt.1	chr1	90594800	90598766	-	NM_177305
uc007byv.1	chr1	90967036	91050368	+	NM_133816
uc007byw.1	chr1	91351385	91791857	+	NM_178119
uc007byz.2	chr1	91573081	91580467	-	NR_015540
uc007bzb.1	chr1	91824536	91827751	-	NM_010262
uc007bzd.1	chr1	91849252	91911152	-	NM_139152
uc007bzg.2	chr1	91938706	92049976	-	NM_029122
uc007bzh.1	chr1	92100577	92112863	+	NM_007722
uc007bzi.1	chr1	92499999	92509916	+	NM_133805
uc007bzm.2	chr1	92811676	92847719	+	NM_053015
uc011wpd.1	chr1	92849684	92850589	+	NM_001101647
uc007bzn.2	chr1	92854709	92864244	-	NM_001159725
uc007bzr.2	chr1	92950020	93013899	+	NM_001111311
uc007bzv.1	chr1	93041679	93067372	+	NM_001033408
uc007bzx.2	chr1	93076398	93121773	+	NM_016894
uc007bzy.1	chr1	93146895	93182602	+	NM_026454
uc007caf.1	chr1	93194914	93217657	+	NM_016717
uc007cah.1	chr1	93218651	93244880	+	NM_001033292
uc007cai.1	chr1	93247649	93258981	+	NM_027551
uc007caj.1	chr1	93263006	93270794	+	NM_173395
uc007cal.1	chr1	93272407	93295360	-	NM_023343
uc007cas.2	chr1	93301456	93302606	-	NR_026924
uc007cau.1	chr1	93308059	93309799	-	NM_019479
uc007cav.1	chr1	93312558	93355905	-	NM_011066
uc007cax.2	chr1	93391244	93425884	+	NM_028718
uc007caz.1	chr1	93437141	93456167	+	NM_001039126
uc007cbd.1	chr1	93698053	93744604	+	NM_007855
uc007cbf.1	chr1	93829331	94045071	-	NM_207225
uc007cbh.1	chr1	94336295	94370335	-	NM_024197
uc007cbi.1	chr1	94376257	94377196	-	NM_147038
uc007cbj.1	chr1	94387394	94388330	-	NM_001011525
uc007cbk.2	chr1	94407624	94415092	-	NM_147039
uc007cbl.2	chr1	94469701	94470783	+	NM_147037
uc007cbm.1	chr1	94484908	94485874	+	NM_146277
uc007cbn.1	chr1	94493097	94494069	+	NM_146490
uc007cbo.1	chr1	94504415	94505384	+	NM_146491
uc007cbp.2	chr1	94516457	94517578	+	NM_206896
uc007cbq.2	chr1	94533721	94538562	-	NM_001163425
uc007cbr.1	chr1	94540794	94545418	-	NM_153114
uc007cbs.1	chr1	94728262	94756773	+	NM_016696
uc011wpk.1	chr1	94746954	94747020	+	NR_029559
uc011wpl.1	chr1	94766705	94799483	-	NM_172850
uc007cbu.1	chr1	94803565	94805197	+	NM_175118
uc007cbw.2	chr1	94807401	94817162	+	NM_181405
uc011wpn.1	chr1	94830119	94847167	-	NR_015525
uc007cby.1	chr1	94830984	94844525	+	NM_011796
uc007cbz.2	chr1	94869695	94882968	+	NM_001104529
uc007cdc.2	chr1	94902910	94908846	+	NM_177587
uc007cdf.2	chr1	94912032	94998442	-	NM_008440
uc007cdi.1	chr1	95031852	95041998	+	NM_016702
uc007cdk.2	chr1	95047931	95057525	-	NM_172411
uc007cdm.1	chr1	95132473	95193025	+	NM_172463
uc007cdo.1	chr1	95195787	95202447	-	NM_178051
uc007cdt.2	chr1	95206013	95239365	-	NM_080850
uc007cdv.1	chr1	95240221	95264195	+	NM_023200
uc007cdw.1	chr1	95270472	95300079	+	NM_207031
uc007cdy.1	chr1	95302516	95375385	-	NM_133808
uc011wpo.1	chr1	95375569	95406309	+	NM_001159717
uc007cec.2	chr1	95408680	95518553	+	NM_145519
uc007ced.1	chr1	95517327	95532304	-	NM_021537
uc007cee.1	chr1	95582270	95592339	+	NM_016778
uc007cef.1	chr1	95601967	95651415	-	NM_025920
uc007cej.1	chr1	95651609	95686106	+	NM_174874
uc007cek.2	chr1	95689152	95698511	-	NM_001105667
uc007cen.1	chr1	95700541	95718677	+	NM_025454
uc007cep.2	chr1	95721816	95748751	+	NM_178882
uc007ces.1	chr1	95757920	95773071	+	NM_199366
uc007cet.1	chr1	95887085	95908116	+	NM_001039219
uc007ceu.1	chr1	95917069	95924907	+	NM_173772
uc007cev.1	chr1	95934881	95949130	-	NM_008798
uc007cey.2	chr1	97210204	97231861	+	NM_026321
uc011wpu.1	chr1	97484258	97564171	-	NM_009183
uc007cfc.1	chr1	98715360	98768748	-	NM_172658
uc007cfe.1	chr1	98802752	98894137	-	NM_001039475
uc007cff.1	chr1	98956025	99024880	-	NM_028942
uc007cfh.2	chr1	99540478	99558595	-	NM_133825
uc007cfk.2	chr1	99602622	99666669	-	NM_173760
uc007cfn.1	chr1	99666755	99689548	+	NM_026250
uc007cfo.1	chr1	99717670	99992209	-	NM_013626
uc007cfu.2	chr1	100317700	100405957	+	NM_027584
uc007cfy.1	chr1	101669341	102382519	+	NM_172851
uc007cgc.1	chr1	106665395	106892058	+	NM_011800
uc011wpz.1	chr1	107173493	107253287	-	NM_001160368
uc007cgf.2	chr1	107417716	107560253	-	NM_013784
uc007cgk.2	chr1	107560437	107651708	+	NM_173187
uc007cgp.1	chr1	107677299	107744558	+	NM_009399
uc007cgt.2	chr1	107886982	107930654	+	NM_001122676
uc007cgv.2	chr1	108068445	108290822	+	NM_133821
uc007cgw.1	chr1	108434755	108610867	-	NM_009741
uc007cgy.2	chr1	108616986	108656319	-	NM_027534
uc007cgz.2	chr1	108667364	108693302	-	NM_009190
uc007cha.1	chr1	108757756	108779925	+	NM_009257
uc007chc.2	chr1	108831025	108853657	+	NM_027971
uc007chf.1	chr1	108877560	108897772	+	NM_172852
uc007chg.2	chr1	108942163	108948880	-	NM_009126
uc007chh.1	chr1	108974769	108980057	-	NM_201376
uc007chi.1	chr1	109050537	109057691	-	NM_198680
uc007chk.2	chr1	109167777	109174948	-	NM_201363
uc007chl.1	chr1	109258890	109277052	+	NM_025867
uc007chm.2	chr1	109319265	109349266	+	NM_027548
uc007chn.2	chr1	109407999	109422177	+	NM_001174170
uc011wqf.1	chr1	109425579	109445848	+	NM_198028
uc007chs.2	chr1	109486582	109505555	+	NM_011459
uc007chw.1	chr1	111880219	112035578	+	NM_172853
uc007chx.1	chr1	112785771	112873949	-	NM_001081386
uc007chy.1	chr1	113755278	113761495	-	NM_001081316
uc007cia.1	chr1	117581713	118477251	+	NM_001077425
uc007cib.1	chr1	120195094	120207709	-	NM_011650
uc007cic.2	chr1	120218419	120230408	+	NM_026472
uc007cif.1	chr1	120285634	120506039	+	NM_001081276
uc007cih.2	chr1	120355245	120355842	-	NR_027901
uc007cil.1	chr1	120524521	120581745	+	NM_023755
uc007cim.1	chr1	120730637	120950196	-	NM_001081125
uc007cir.1	chr1	121312041	121318825	-	NM_008381
uc007cis.2	chr1	121366881	121401359	-	NM_022327
uc007ciu.1	chr1	121422743	121424803	+	NM_146103
uc007ciw.2	chr1	121441609	121545577	-	NM_145506
uc007ciz.1	chr1	121554669	121733648	-	NM_019933
uc007cja.1	chr1	121804477	121809745	-	NM_175106
uc011wqu.1	chr1	121820095	121891787	-	NM_001115074
uc007cjb.1	chr1	121903556	121960109	+	NM_001012322
uc007cjd.1	chr1	121963953	121970357	-	NM_019432
uc007cje.1	chr1	122009856	122017496	-	NM_001037999
uc007cjh.2	chr1	122017763	122084766	+	NM_028439
uc007cji.1	chr1	122122992	122161857	-	NM_133186
uc007cjk.1	chr1	122237158	122239751	+	NM_207233
uc007cjl.1	chr1	122371114	122401661	-	NM_010766
uc007cjm.2	chr1	122499063	122504568	+	NM_010133
uc007cjq.1	chr1	123200929	123229157	-	NM_178082
uc007cju.2	chr1	123327643	123403037	+	NM_001025156
uc011wqx.1	chr1	123406349	123425042	-	NM_010483
uc007cjw.2	chr1	123450411	123464557	-	NM_025860
uc007cjx.2	chr1	125228714	125942136	-	NM_199021
uc007cke.1	chr1	127289482	127332067	-	NM_023735
uc007ckg.1	chr1	127457592	127492261	+	NM_028787
uc007ckh.2	chr1	127573572	127770438	+	NM_027677
uc007ckj.1	chr1	127768618	127808791	-	NM_145100
uc007ckm.1	chr1	127810212	128727209	-	NM_001081756
uc007ckr.1	chr1	129101562	129379549	+	NM_145128
uc011wqz.1	chr1	129386918	129574598	-	NM_028135
uc007ckv.1	chr1	129625989	129664141	+	NM_001033041
uc007ckz.1	chr1	129670740	129701414	+	NM_028399
uc011wra.1	chr1	129711847	129736867	-	NM_011737
uc007clc.2	chr1	129765349	129840453	+	NM_178690
uc007cld.1	chr1	129850762	129998985	-	NM_027678
uc007clj.1	chr1	129999882	130134312	+	NM_181750
uc011wrc.1	chr1	130098937	130099007	+	NR_029543
uc007cll.1	chr1	130140757	130175954	+	NM_026390
uc007clm.1	chr1	130181340	130224895	-	NM_001081078
uc007cln.1	chr1	130228167	130256233	-	NM_008567
uc007clp.2	chr1	130260283	130313993	-	NM_177445
uc007clt.1	chr1	130484775	130488876	-	NM_009911
uc007clv.2	chr1	131169880	132115855	+	NM_172485
uc007clx.1	chr1	132285104	132319576	-	NM_007827
uc007cly.1	chr1	132335606	132359317	-	NM_010016
uc007cmb.2	chr1	132473282	132526183	-	NM_009581
uc007cmc.1	chr1	132532497	132558195	-	NM_007576
uc011wrf.1	chr1	132566778	132578148	-	NR_028304
uc007cmg.2	chr1	132588831	132612398	-	NM_008825
uc007cmh.2	chr1	132613903	132618634	+	NM_178691
uc007cmi.2	chr1	132628552	132641199	+	NM_177604
uc007cml.1	chr1	132697478	132711317	+	NM_001170632
uc011wrk.1	chr1	132723260	132748826	+	NM_011082
uc007cmn.1	chr1	132762353	132777367	+	NM_026976
uc007cmq.2	chr1	132778650	132783988	-	NM_053095
uc007cmr.1	chr1	132803768	132807873	-	NM_021380
uc007cms.1	chr1	132829232	132835855	-	NM_001009940
uc007cmu.2	chr1	132916421	132921547	+	NM_010548
uc007cmv.1	chr1	132950280	132994120	-	NM_008551
uc007cmw.1	chr1	133025017	133034811	-	NM_145508
uc007cmz.2	chr1	133049783	133070048	+	NM_001136070
uc007cnd.1	chr1	133072986	133141755	-	NM_018750
uc007cnf.1	chr1	133151178	133176140	-	NM_019777
uc007cng.2	chr1	133181827	133423938	-	NM_001081011
uc007cnk.1	chr1	133424565	133436449	+	NM_175382
uc007cnl.1	chr1	133495690	133508577	+	NM_011924
uc007cnn.2	chr1	133534890	133572084	+	NM_007799
uc007cnp.1	chr1	133585271	133610041	+	NM_145509
uc007cns.1	chr1	133640598	133666982	+	NM_177243
uc007cnt.2	chr1	133693971	133714692	+	NM_178079
uc007cnu.2	chr1	133724588	133745440	+	NM_173865
uc007cnv.2	chr1	133763853	133769464	+	NM_144875
uc007cny.2	chr1	133807034	133832898	+	NM_175294
uc007cnz.1	chr1	133859543	133879541	+	NM_001177628
uc007coc.1	chr1	133904181	133922261	+	NM_007923
uc007coe.2	chr1	133923197	133964639	-	NM_172510
uc007coh.2	chr1	134010123	134036262	-	NM_008795
uc007coj.2	chr1	134088012	134153959	+	NM_001033250
uc011wrv.1	chr1	134094664	134094761	+	NR_029777
uc007con.1	chr1	134195202	134203934	+	NM_144810
uc007coo.2	chr1	134212701	134230065	+	NM_028778
uc007cot.1	chr1	134252891	134287858	-	NM_178874
uc007cou.1	chr1	134314029	134363536	+	NM_172516
uc007cox.2	chr1	134373943	134402242	+	NM_172517
uc007coz.2	chr1	134402806	134405216	+	NM_029025
uc007cpa.1	chr1	134406001	134439517	-	NM_177129
uc007cpe.2	chr1	134461266	134638374	-	NM_182716
uc007cpi.2	chr1	134776931	134836582	+	NM_010732
uc007cpk.1	chr1	134886421	134921925	-	NM_008575
uc011wry.1	chr1	134942588	135005265	+	NM_001099276
uc007cpt.2	chr1	135027742	135036377	+	NM_133819
uc007cpu.2	chr1	135142673	135200012	+	NM_182930
uc007cqa.1	chr1	135206399	135219603	+	NM_026680
uc007cqe.1	chr1	135223786	135226299	+	NM_178260
uc007cqf.1	chr1	135247142	135256900	+	NM_031192
uc007cqh.2	chr1	135260148	135276895	+	NM_175443
uc007cqk.1	chr1	135278876	135320789	-	NM_011439
uc007cql.2	chr1	135500447	135506857	-	NM_009227
uc007cqn.1	chr1	135516447	135557957	-	NM_144530
uc007cqr.2	chr1	135552455	135557462	-	NM_001166552
uc007cqt.2	chr1	135575605	135586593	-	NM_172842
uc007cqv.2	chr1	135600841	135650326	-	NM_213616
uc007cqy.2	chr1	135793770	135803750	-	NM_054076
uc007crc.2	chr1	135806881	135817978	-	NM_054077
uc007crd.1	chr1	135934091	135944854	+	NM_021355
uc007cre.1	chr1	135971441	135975732	-	NM_007570
uc007crf.1	chr1	136007818	136048013	+	NM_027979
uc007crg.2	chr1	136078980	136086608	+	NM_007695
uc007cri.1	chr1	136090024	136097809	+	NM_016749
uc007crk.1	chr1	136095798	136132008	-	NM_001039510
uc007crl.2	chr1	136186580	136189125	+	NM_031189
uc011wse.1	chr1	136193359	136229505	-	NM_001144855
uc007crq.1	chr1	136242673	136258576	-	NM_020588
uc007crt.2	chr1	136282516	136287560	+	NM_173771
uc007cru.1	chr1	136302566	136308315	+	NM_028057
uc007crx.1	chr1	136312043	136328918	+	NM_028320
uc007csa.1	chr1	136352131	136387450	+	NM_153128
uc007csc.1	chr1	136391236	136404461	+	NM_145510
uc011wsf.1	chr1	136437521	136443760	-	NM_001145300
uc011wsg.1	chr1	136456754	136529455	+	NM_152895
uc007csj.1	chr1	136543257	136645994	+	NM_009307
uc007csn.1	chr1	136662473	136852517	-	NM_001081307
uc007cso.2	chr1	136676299	136700175	-	NR_015606
uc007csp.1	chr1	136859153	136870714	+	NM_026024
uc007csq.1	chr1	136882929	137001853	-	NM_001033409
uc007csr.2	chr1	137005074	137029152	-	NM_007955
uc007css.1	chr1	137029301	137041897	+	NM_177081
uc007csu.1	chr1	137043410	137052845	+	NM_026823
uc007csv.2	chr1	137056826	137064258	-	NM_134438
uc007csw.2	chr1	137150150	137155049	-	NM_007921
uc007csy.2	chr1	137159275	137180661	-	NM_145417
uc007csz.1	chr1	137198111	137210314	-	NM_011590
uc007cta.1	chr1	137221389	137264642	+	NM_053106
uc007ctc.1	chr1	137268032	137271640	-	NM_175259
uc007cte.1	chr1	137278891	137327068	-	NM_153774
uc007ctg.2	chr1	137331156	137481932	-	NM_173437
uc007cto.1	chr1	137625773	137648806	+	NM_007791
uc007ctq.2	chr1	137662661	137665711	+	NM_013750
uc011wsm.1	chr1	137695997	137707566	+	NM_021467
uc007ctt.1	chr1	137715174	137729918	+	NM_133664
uc007ctv.2	chr1	137732962	137748838	+	NM_001130179
uc007cub.1	chr1	137767971	137815601	-	NM_019645
uc011wst.1	chr1	137850154	137902919	-	NM_177642
uc007cue.2	chr1	137914577	137931607	+	NM_025439
uc007cuf.1	chr1	137949477	138016399	+	NM_001081023
uc007cul.1	chr1	138027977	138074591	+	NM_001039472
uc007cuo.1	chr1	138110107	138130841	-	NM_028872
uc011wsy.1	chr1	138155490	138157450	-	NM_001101516
uc007cuq.1	chr1	138164699	138242681	-	NM_001081360
uc007cus.1	chr1	138308492	138312096	-	NR_024328
uc007cuu.2	chr1	138311847	138336797	+	NM_026500
uc007cuv.1	chr1	138364424	138428088	+	NM_001081258
uc007cux.2	chr1	138521477	138526968	+	NM_177643
uc007cvc.2	chr1	138740160	138857025	-	NM_030676
uc007cve.2	chr1	139863031	139863295	+	NR_029820
uc007cvg.2	chr1	139959437	140071882	-	NM_001111316
uc007cvm.1	chr1	140170314	140186039	+	NM_177397
uc007cvn.1	chr1	140381290	140516273	-	NM_021605
uc007cvu.1	chr1	140727523	140739021	-	NM_001042577
uc007cvw.1	chr1	140748555	140753431	-	NM_001081226
uc007cwb.2	chr1	140860285	141072619	+	NM_001166501
uc007cwc.1	chr1	141094830	141273653	-	NM_133239
uc007cwg.2	chr1	141318959	141349584	+	NM_172643
uc007cwh.1	chr1	141351349	141390665	+	NM_009791
uc007cwk.2	chr1	141398283	141420333	+	NM_031164
uc007cwl.1	chr1	141443640	141456799	-	NM_015780
uc007cwn.2	chr1	141594495	141677816	-	NM_001029977
uc007cwp.2	chr1	141706868	141755276	-	NM_001025575
uc007cws.1	chr1	141982431	142079988	-	NM_009888
uc011wth.1	chr1	142142833	142506838	+	NM_001081027
uc007cwx.1	chr1	145454628	145549814	-	NM_145991
uc007cwy.2	chr1	145487826	145497067	+	NM_020025
uc007cxa.1	chr1	145586697	145596808	+	NM_001038592
uc007cxd.1	chr1	145597920	145624181	-	NM_013835
uc007cxe.2	chr1	145624407	145654596	+	NM_019562
uc007cxg.2	chr1	145846467	145851279	-	NM_009061
uc007cxi.1	chr1	145985796	146024502	-	NM_153171
uc007cxj.2	chr1	146091798	146096234	-	NM_015811
uc007cxl.1	chr1	146599970	146622551	-	NM_022881
uc007cxq.2	chr1	148344816	148749602	+	NM_001145807
uc007cxt.1	chr1	151676751	151808414	-	NM_008869
uc007cxu.2	chr1	151923790	151946896	-	NR_015466
uc007cxv.1	chr1	151947253	151955142	+	NM_011198
uc011wtl.1	chr1	152166546	152181036	+	NM_001159730
uc007cxz.1	chr1	152208440	152240185	-	NM_145511
uc007cyb.2	chr1	152239967	152297065	+	NM_133780
uc007cyg.2	chr1	152296541	152313295	-	NM_021400
uc007cyj.1	chr1	152409631	152840565	-	NM_001024720
uc007cyn.1	chr1	153191627	153211575	+	NM_054102
uc007cyq.2	chr1	153214828	153275565	-	NM_025819
uc007cyv.2	chr1	153275777	153305313	+	NM_026876
uc007cyx.1	chr1	153316535	153347953	-	NM_011277
uc007cyz.2	chr1	153418502	153566477	+	NM_022018
uc007czc.2	chr1	153602503	153669458	+	NM_001039644
uc007cze.2	chr1	153731653	153937450	-	NM_197990
uc007czf.2	chr1	154217865	154233812	-	NM_025677
uc007czg.2	chr1	154246996	154357825	+	NM_177756
uc007czh.1	chr1	154364659	154472241	-	NM_016846
uc007czi.1	chr1	154597680	154604674	+	NM_001081197
uc007czj.2	chr1	154613671	154622710	+	NM_026369
uc007czm.1	chr1	154654386	154684120	+	NM_010877
uc007czp.2	chr1	154684124	154749776	-	NM_001160256
uc007czq.1	chr1	154802230	154966391	+	NM_175460
uc007czr.1	chr1	154969885	155033577	-	NM_008485
uc007czu.1	chr1	155066051	155179916	-	NM_010683
uc007czw.2	chr1	155251315	155261363	-	NR_033736
uc007czx.1	chr1	155272338	155299704	+	NM_001033162
uc007czy.1	chr1	155302887	155334790	-	NM_007842
uc007dac.1	chr1	155350145	155396844	-	NM_028749
uc007dad.1	chr1	155500166	155544795	+	NM_026380
uc007dae.2	chr1	155587482	155592598	+	NM_011267
uc007dag.2	chr1	155596555	155611351	+	NM_011882
uc007dam.1	chr1	155696671	155698325	-	NM_178243
uc007dao.1	chr1	155721474	155724001	+	NM_001008426
uc007dap.2	chr1	155738775	155740190	+	NM_178244
uc007daq.1	chr1	155747074	155756844	+	NM_008131
uc007dav.1	chr1	156239648	156573050	-	NM_009782
uc007dax.2	chr1	156943496	156946766	-	NM_010500
uc007day.1	chr1	156975007	156993910	-	NM_008209
uc007dbb.1	chr1	157005832	157050647	+	NM_021433
uc007dbf.1	chr1	157122786	157264574	-	NM_011273
uc011wtw.1	chr1	157405249	157534363	+	NM_028250
uc007dbn.2	chr1	157548823	157589157	-	NM_010712
uc007dbp.1	chr1	157625284	157660029	-	NM_001024945
uc007dbs.2	chr1	157692093	157820385	-	NM_001039184
uc007dbw.2	chr1	157851728	157883610	-	NM_001160018
uc011wub.1	chr1	157882793	157900866	+	NM_001160182
uc007dbx.2	chr1	157882793	157915989	+	NM_172843
uc007dce.1	chr1	157923095	158135156	-	NM_177838
uc011wud.1	chr1	158185425	158233479	-	NM_001134741
uc007dch.1	chr1	158240865	158258166	+	NM_130456
uc007dci.1	chr1	158295059	158330121	-	NM_001198597
uc007dcj.1	chr1	158358238	158404459	-	NM_009230
uc007dcl.2	chr1	158488917	158579750	+	NM_009595
uc007dcn.2	chr1	158583747	158604470	-	NM_023141
uc007dcp.1	chr1	158608701	158649041	-	NM_145413
uc011wui.1	chr1	158734296	158869518	-	NM_001159966
uc007ddd.1	chr1	158769153	158791209	+	NM_028333
uc007ddf.1	chr1	159029278	159038776	-	NM_028540
uc007ddg.2	chr1	159065313	159342726	-	NM_177644
uc007ddi.1	chr1	159342482	159350367	+	NR_027984
uc007ddj.1	chr1	159388712	159418864	+	NM_001033284
uc007ddn.2	chr1	159456300	159498555	+	NM_001159986
uc007ddq.2	chr1	160175399	160286391	-	NM_207583
uc007ddt.2	chr1	160292470	160621917	+	NM_007495
uc011wuk.1	chr1	160435755	160435864	+	NR_030441
uc007ddv.1	chr1	160641861	160887569	-	NM_001085376
uc007ddz.1	chr1	161162456	161277711	+	NM_011931
uc011wul.1	chr1	161270437	161270555	+	NR_028518
uc007dea.2	chr1	161453899	161855053	+	NM_022312
uc007dec.2	chr1	161974510	162008717	+	NM_001162896
uc007dee.2	chr1	162015162	162083706	-	NM_177839
uc007def.1	chr1	162125390	162131317	+	NM_025474
uc007deg.1	chr1	162133051	162142908	-	NM_009786
uc007dej.2	chr1	162186702	162723069	-	NM_013862
uc011wum.1	chr1	162506798	162507884	-	NM_001146330
uc007del.2	chr1	162836541	162905107	+	NM_001024952
uc007dem.2	chr1	162908736	162933145	+	NM_080844
uc007deq.1	chr1	162947886	162964415	-	NM_173424
uc007deu.1	chr1	162965296	162968668	+	NR_002840
uc011wuo.1	chr1	162968222	162968287	+	NR_028543
uc007dey.1	chr1	162970743	163000763	-	NM_172644
uc007dfc.2	chr1	163001022	163016474	+	NM_001159930
uc007dff.1	chr1	163018508	163061610	-	NM_001039482
uc007dfj.2	chr1	163072842	163100638	+	NM_028664
uc011wup.1	chr1	163086953	163089445	-	NM_001195189
uc007dfl.1	chr1	163170242	163181297	-	NM_007453
uc007dfn.2	chr1	163325568	163348337	+	NM_009452
uc007dfo.2	chr1	163424787	163435421	+	NM_183391
uc007dfr.1	chr1	163710819	163718626	-	NM_010177
uc007dft.2	chr1	163746242	163806792	-	NM_172645
uc007dfy.1	chr1	163899318	163903566	+	NM_001039045
uc007dga.2	chr1	163917432	164408165	-	NM_001038619
uc007dgf.1	chr1	164147753	164155681	+	NR_029796
uc007dgh.1	chr1	164463802	164478476	-	NM_144877
uc007dgl.1	chr1	164500958	164529209	+	NM_016796
uc007dgm.2	chr1	164569280	164579825	+	NM_010865
uc007dgn.2	chr1	164577373	164588350	-	NM_001177581
uc007dgr.1	chr1	164601915	164670687	-	NM_001081290
uc007dgv.1	chr1	164724013	164742784	-	NM_144878
uc007dgx.1	chr1	164759691	164796679	-	NM_010231
uc007dhb.1	chr1	164805177	164828843	-	NM_018881
uc011wur.1	chr1	164846681	164867356	-	NM_001178038
uc007dhe.1	chr1	164883930	164914622	-	NM_008030
uc007dhg.2	chr1	164954432	165015801	-	NM_030071
uc007dhi.1	chr1	165175249	165243781	-	NM_011127
uc007dhl.1	chr1	165315039	165333772	-	NM_178883
uc011wus.1	chr1	165633123	165655363	-	NM_001143956
uc007dho.1	chr1	165709809	165847231	+	NM_010629
uc007dhq.1	chr1	165860194	165885257	+	NM_028776
uc007dhu.1	chr1	165884138	165924912	-	NM_201364
uc007dhw.1	chr1	165925075	165927374	+	NM_027279
uc007dhx.1	chr1	165978364	165987808	+	NM_011345
uc007dhy.2	chr1	165992206	166010916	+	NM_011346
uc007dhz.1	chr1	166045394	166079875	+	NM_011347
uc007dic.1	chr1	166081989	166150405	+	NM_007976
uc007did.1	chr1	166179185	166195499	+	NM_054087
uc007dif.2	chr1	166205728	166217978	+	NM_029115
uc007dig.1	chr1	166219930	166237615	-	NM_025505
uc007din.2	chr1	166237431	166367427	+	NM_138314
uc007dip.1	chr1	166367397	166388486	-	NM_009721
uc007diq.1	chr1	166726862	166754397	+	NM_019759
uc007dis.1	chr1	166861778	166865641	-	NM_008510
uc007diw.1	chr1	167067983	167090904	-	NM_032005
uc007dix.2	chr1	167104471	167124564	-	NM_145512
uc007diz.2	chr1	167142416	167167089	-	NM_145513
uc007dja.1	chr1	167225896	167251982	+	NM_001081126
uc007djb.2	chr1	167259631	167390594	-	NM_028759
uc007djd.1	chr1	167391338	167411345	+	NM_027430
uc007djf.1	chr1	167415313	167506904	+	NM_173029
uc007djh.1	chr1	167522311	167564672	-	NM_001083897
uc007djj.1	chr1	167579075	167638225	-	NM_178593
uc007djm.1	chr1	167693910	167705435	+	NM_011804
uc007djo.2	chr1	167718811	167797567	+	NM_031162
uc007djz.1	chr1	167805604	167932765	-	NM_198932
uc007dki.2	chr1	168028278	168058029	-	NM_001160049
uc007dkj.1	chr1	168060590	168096641	+	NM_021610
uc007dkk.1	chr1	168131515	168168875	-	NM_175296
uc011wvd.1	chr1	168184269	168246963	+	NM_001164528
uc007dkm.2	chr1	168309297	168323751	+	NM_030245
uc011wvk.1	chr1	168323741	168339959	-	NM_001142948
uc011wvl.1	chr1	168413743	168427719	-	NM_001164306
uc011wvm.1	chr1	168559101	168577824	-	NM_001164312
uc007dkq.1	chr1	168592185	168611976	-	NM_172844
uc007dkt.2	chr1	168931547	169021433	+	NM_001160261
uc007dku.1	chr1	169156216	169215258	-	NM_030724
uc007dkv.1	chr1	169238800	169264109	+	NM_001039483
uc007dkx.1	chr1	169280121	169298661	+	NM_019993
uc007dky.1	chr1	169302514	169323928	-	NM_025569
uc007dkz.1	chr1	169375805	169396911	-	NM_001013382
uc007dla.2	chr1	169528492	169569754	+	NM_009107
uc007dlc.1	chr1	169619688	169778864	+	NM_033652
uc007dle.1	chr1	170083999	170362389	-	NM_183355
uc007dlj.1	chr1	171428064	171461595	-	NM_023284
uc007dlm.1	chr1	171585631	171623657	+	NM_009063
uc007dln.1	chr1	171671607	171677773	-	NM_009062
uc007dlo.1	chr1	171859069	171864784	+	NM_001033185
uc007dlp.1	chr1	171879667	171899336	-	NM_010476
uc011wvr.1	chr1	171902437	172019075	-	NM_022563
uc007dlw.1	chr1	172072133	172105077	-	NM_133806
uc007dma.1	chr1	172129386	172145524	-	NM_010633
uc007dmb.1	chr1	172163001	172181718	+	NM_001033499
uc007dmc.1	chr1	172207454	172215793	+	NM_012009
uc011wvs.1	chr1	172228323	172236463	-	NM_001198955
uc007dmd.1	chr1	172238991	172242256	+	NM_001039593
uc011wvt.1	chr1	172247626	172519980	-	NM_001109985
uc007dmi.2	chr1	172574662	172612920	+	NM_177068
uc007dmj.1	chr1	172634587	172797902	-	NM_001081304
uc007dml.1	chr1	172804318	172815671	-	NM_023173
uc007dmp.1	chr1	172837403	172843072	-	NM_001029984
uc007dmr.2	chr1	172847724	172857714	-	NM_001160215
uc007dms.1	chr1	172890688	172906202	-	NM_001077189
uc007dmw.2	chr1	172949056	172959892	+	NM_144559
uc011wvw.1	chr1	172981299	172989534	-	NM_010188
uc007dna.1	chr1	173051791	173057098	+	NM_001081275
uc007dnb.2	chr1	173059287	173080734	-	NM_025321
uc007dnc.1	chr1	173080843	173091254	+	NM_008623
uc009uzy.1	chr1	173103394	173126417	-	NM_025557
uc007dnf.1	chr1	173144100	173148975	+	NM_009803
uc007dnj.1	chr1	173147933	173152645	-	NM_001037170
uc007dnk.2	chr1	173155184	173156510	+	NM_013474
uc007dnl.1	chr1	173159702	173164480	-	NM_010185
uc007dnm.1	chr1	173164990	173177243	-	NM_153064
uc007dnn.1	chr1	173180552	173190053	+	NM_172845
uc007dnp.2	chr1	173200458	173207026	+	NM_020579
uc007dns.1	chr1	173207122	173211317	-	NM_008911
uc011wwa.1	chr1	173212083	173218092	-	NM_013919
uc007dnw.1	chr1	173218694	173225113	-	NM_025388
